新出単語,しんしゅつたんご ⑤,&lt;名&gt;,新单词；生词,,2-1 新出単語
新出,しんしゅつ ⓪,&lt;名&gt;,新出现；新,,2-1 新出単語
単語,たんご ⓪,&lt;名&gt;,单词,,2-1 新出単語
第２課,だいにか ①-①,&lt;名&gt;,第2课,,2-1 新出単語
第-,だい-,&lt;接頭&gt;,第~,,2-1 新出単語
課,か ①,&lt;名&gt;,课,,2-1 新出単語
新生活,しんせいかつ ③,&lt;名&gt;,新生活,,2-1 新出単語
新-,しん-,&lt;接頭&gt;,新~,,2-1 新出単語
生活,せいかつ ⓪,&lt;名·自Ⅲ&gt;,生活,,2-1 新出単語
ユニット,unit ①,&lt;名&gt;,单元,,2-1 新出単語
会話,かいわ ⓪,&lt;名·自Ⅲ&gt;,会话,,2-1 新出単語
はじめまして,はじめまして ④,,初次见面,,2-1 新出単語
すみません,すみません ④,,对不起,,2-1 新出単語
日本,にほん ②,&lt;固名&gt;,日本,,2-1 新出単語
方,かた ②,&lt;名&gt;,（用于人，含敬意）位,,2-1 新出単語
こちらこそ,こちらこそ ④,,表示自己才属于对方所说的那种情况,,2-1 新出単語
日本語学科,にほんごがっか ⑤,&lt;名&gt;,日语专业；日语系,,2-1 新出単語
日本語,にほんご ⓪,&lt;名&gt;,日语,,2-1 新出単語
-語,-ご,&lt;接尾&gt;,~语；~话,,2-1 新出単語
学科,がっか ⓪,&lt;名&gt;,专业；学科,,2-1 新出単語
そう,そう ①,&lt;副&gt;,那样；那么,,2-1 新出単語
じゃあ,じゃあ ①,&lt;接&gt;,（表示转换话题）那么,,2-1 新出単語
また,また ②,&lt;副&gt;,再见；再；又,,2-1 新出単語
-さん,-さん,&lt;接尾&gt;,（接在人名等后面，略表尊敬及亲密之意，相当于汉语的）小（王）、老（王）,,2-1 新出単語
おはよう,おはよう ⓪,,早上好,,2-1 新出単語
こちら,こちら ⓪,&lt;名&gt;,（指代说话人近旁的人或方位）这位；这边；这个,,2-1 新出単語
昨日,きのう ②,&lt;名&gt;,昨天,,2-1 新出単語
どうも,どうも ①,&lt;副&gt;,（加强感谢、道歉的语气）太；实在是,,2-1 新出単語
すみませんでした,すみませんでした ④,,（「すみません」的过去时） 对不起,,2-1 新出単語
知り合い,しりあい ⓪,&lt;名&gt;,相识；熟人,,2-1 新出単語
ちょっと,ちょっと ①,&lt;副&gt;,稍微，些许，一点儿，一下,,2-1 新出単語
高校,こうこう ⓪,&lt;名&gt;,高中,,2-1 新出単語
後輩,こうはい ⓪,&lt;名&gt;,晚辈；学弟；学妹,,2-1 新出単語
今,いま ①,&lt;名&gt;,现在,,2-1 新出単語
京華大学,きょうかだいがく) ④,&lt;固名&gt;,京华大学,,2-1 新出単語
大学,だいがく ⓪,&lt;名&gt;,大学,,2-1 新出単語
語学留学生,ごがくりゅうがくせい ⑥,&lt;名&gt;,语言留学生,,2-1 新出単語
語学,ごがく ①⓪,&lt;名&gt;,语言；外语,,2-1 新出単語
留学生,りゅうがくせい ③,&lt;名&gt;,留学生,,2-1 新出単語
留学,りゅうがく ⓪,&lt;名·自Ⅲ&gt;,留学,,2-1 新出単語
どうぞ,どうぞ ①,&lt;副&gt;,（表示对他人提出请求）请；恳请,,2-1 新出単語
よろしく,よろしく ⓪,&lt;副&gt;,（寒暄用语）表示“请多关照”等意思,,2-1 新出単語
彼女,かのじょ ①,&lt;名&gt;,她；女朋友,,2-1 新出単語
まあ,まあ ①,&lt;副&gt;,（表示虽不十分满意，但还差强人意）就（还）算,,2-1 新出単語
解説,かいせつ ⓪,&lt;名·他Ⅲ&gt;,解说；说明；解释；讲解,,2-1 新出単語
語彙,ごい ①,&lt;名&gt;,词汇,,2-1 新出単語
音声,おんせい ①,&lt;名&gt;,语音；发音,,2-1 新出単語
文法,ぶんぽう ⓪,&lt;名&gt;,语法,,2-1 新出単語
表現,ひょうげん ③,&lt;名·他Ⅲ&gt;,表达（方式）,,2-1 新出単語
か,か,&lt;終助&gt;,（表示疑问）吗,,2-1 新出単語
は,は,&lt;取立て助&gt;,(「は」发 wa 的音）用于提出（凸显）话题,,2-1 新出単語
ね,ね,&lt;終助&gt;,表示征求对方认同、确认的语气,,2-1 新出単語
私,わたし ⓪,&lt;名&gt;,我,,2-1 練習用単語
会社員,かいしゃいん ③,&lt;名&gt;,公司职员,,2-1 練習用単語
会社,かいしゃ ⓪,&lt;名&gt;,公司,,2-1 練習用単語
-員,-いん ,&lt;接尾&gt;,一员；成员,,2-1 練習用単語
大学生,だいがくせい ④③,&lt;名&gt;,大学生,,2-1 練習用単語
学部生,がくぶせい ③,&lt;名&gt;,本科生,,2-1 練習用単語
学部,がくぶ ⓪①,&lt;名&gt;,学院；系,,2-1 練習用単語
韓国,かんこく ①,&lt;固名&gt;,韩国,,2-1 練習用単語
歴史学部,れきしがくぶ ④,&lt;名&gt;,历史学院；历史系,,2-1 練習用単語
歴史,れきし ⓪,&lt;名&gt;,历史,,2-1 練習用単語
友達,ともだち ⓪,&lt;名&gt;,朋友,,2-1 練習用単語
高校生,こうこうせい ③,&lt;名&gt;,高中生,,2-1 練習用単語
