家族,かぞく）①,<名>,家；家人；家庭成员,2-2 新出単語
写真,しゃしん ⓪,<名>,照片；相片,2-2 新出単語
ご-〖御-〗,ご-,<接頭>,主要接在汉字音读名词前，表示对方的行为或与对方相关的事项，以示对对方的尊敬,2-2 新出単語
何人,なんにん ①,<名>,几个人,2-2 新出単語
-人,-にん,<接尾>,（接在数量名词或动作性名词后面）（几）人；（做……的）人,2-2 新出単語
３人,さんにん ③,<名>,3人,2-2 新出単語
両親,りょうしん ①,<名>,父母；双亲,2-2 新出単語
一人っ子,ひとりっこ ③,<名>,独生子女,2-2 新出単語
一人,ひとり ②,<名>,一个人,2-2 新出単語
父,ちち ①②,<名>,（我）父亲；（我）爸爸,2-2 新出単語
サラリーマン,和制英语 salaryman ③,<名>,男性公司职员,2-2 新出単語
母,はは ①,<名>,（我）母亲；（我）妈妈,2-2 新出単語
医者,いしゃ ⓪,<名>,医生，大夫,2-2 新出単語
祖母,そぼ ①,<名>,祖母；外祖母；奶奶；姥姥,2-2 新出単語
姉,あね ①,<名>,（我）姐姐,2-2 新出単語
弟,おとうと ④,<名>,（我）弟弟,2-2 新出単語
小学校,しょうがっこう ③,<名>,小学,2-2 新出単語
教員,きょういん ⓪,<名>,教员；教师；老师,2-2 新出単語
おばあさん〖お祖母さん〗,おばあさん ②,<名>,（「祖母」的敬称）祖母；外祖母；奶奶；姥姥,2-2 新出単語
お母さん,おかあさん ②,<名>,（「母親」的敬称。可用于直接称呼）母亲；妈；您母亲,2-2 新出単語
おいくつ,おいくつ ⓪,<名>,（用于询问对方的年龄）几岁；多大年纪,2-2 新出単語
お-,お-,<接頭>,敬语用法，表示对对方或第三者的尊敬；美化语用法，起修饰、使表达文雅的作用。,2-2 新出単語
いくつ,いくつ ①,<名>,几岁；几个,2-2 新出単語
17歳,じゅうななさい ④,<名>,17岁,2-2 新出単語
-歳,-さい,<接尾>,～岁,2-2 新出単語
看護師,かんごし ③,<名>,护士,2-2 新出単語
この,この ⓪,<連体>,（指代说话人方面的人或事物等）这～,2-2 新出単語
どなた,どなた ①,<名>,哪位；谁,2-2 新出単語
その,その ⓪,<連体>,（指代对方附近或对方方面的人或事物等）那～,2-2 新出単語
人,ひと ⓪,<名>,人,2-2 新出単語
婚約者,こんやくしゃ ④③,<名>,订婚对象；未婚夫；未婚妻,2-2 新出単語
婚約,こんやく ⓪,<名·自Ⅲ>,婚约；订婚,2-2 新出単語
-者,-しゃ,<接尾>,做/是……的人,2-2 新出単語
恋人,こいぴと ⓪,<名>,恋人；对象；男朋友；女朋友,2-2 新出単語
名前,なまえ ⓪,<名>,名字；姓名,2-2 新出単語
タマ,タマ ①,<固名>,（猫的名字）球球；圆子，团子,2-2 新出単語
あの,あの ⓪,<連体>,（指代远离说话人、听话人双方的事物）那～,2-2 新出単語
どの,どの ①,<連体>,哪个；哪～,2-2 新出単語
と,と,<格助>,（表示并列）和；与,2-2 新出単語
祖父,そふ ①,<名>,祖父；爷爷；姥爷；外公,2-2 練習用単語
教師,きょうし ①,<名>,教师,2-2 練習用単語
アメリカ,America ⓪,<固名>,美国,2-2 練習用単語
仕事,しごと ⓪,<名·自Ⅲ>,工作,2-2 練習用単語
