サークル情報,circleじょうほう ⑤,<名>,社团信息,3-3 新出単語
サークル,circle ①,<名>,小组；社团；圆，圆形,3-3 新出単語
情報,じょうほう ⓪,<名>,信息,3-3 新出単語
遣唐使,けんとうし ③,<名>,遣唐使,3-3 新出単語
10月号,じゅうがつごう ④,<名>,10月号；第10期,3-3 新出単語
-月,-がつ,<接尾>,～月（份）,3-3 新出単語
-号,-ごう,<接尾>,（表示杂志、报纸等定期刊物的顺序、编号）号；期,3-3 新出単語
新入生,しんにゅうせい ③,<名>,新生,3-3 新出単語
歓迎,かんげい ⓪,<名·他Ⅲ>,欢迎,3-3 新出単語
日本人留学生会,にほんじんりゅうがくせいかい ⑨⑧,<名>,日本留学生会,3-3 新出単語
留学生会,りゅうがくせいかい ⑤,<名>,留学生会,3-3 新出単語
メンバー,member ①,<名>,成员,3-3 新出単語
活動,かつどう ⓪,<名·自Ⅲ>,活动；工作,3-3 新出単語
ニュースレター,news letter ④,<名>,新闻简报；简讯,3-3 新出単語
ニュース,news ①,<名>,新闻；消息,3-3 新出単語
レター,letter ①,<名>,信；简报；简讯,3-3 新出単語
発行,はっこう ⓪,<名·他Ⅲ>,发行,3-3 新出単語
研究発表会,けんきゅうはっぴょうかい ⑦,<名>,研究发表会,3-3 新出単語
発表,はっぴょう ⓪,<名·他Ⅲ>,发表；宣读论文；发言；公布,3-3 新出単語
交流,こうりゅう ⓪,<名·自Ⅲ>,交流,3-3 新出単語
開催,かいさい ⓪,<名·他Ⅲ>,举办；召开,3-3 新出単語
活動日,かつどうび ③,<名>,活动日,3-3 新出単語
金曜日,きんようび ③,<名>,星期五,3-3 新出単語
場所,ばしょ ⓪,<名>,地点；场所；处所,3-3 新出単語
留学生会館,りゅうがくせいかいかん ⑦,<名>,留学生会馆,3-3 新出単語
会館,かいかん ⓪,<名>,会馆,3-3 新出単語
-階,-かい,<接尾>,建筑物的楼层；～层,3-3 新出単語
小会議室,しょうかいぎしつ ⑤,<名>,小会议室,3-3 新出単語
会議,かいぎ ①,<名·自Ⅲ>,会议；开会,3-3 新出単語
会長,かいちょう ⓪,<名>,会长；董事长,3-3 新出単語
専攻,せんこう ⓪,<名·他Ⅲ>,专业；专攻,3-3 新出単語
中国経済,ちゅうごくけいざい ⑤,<名>,中国经济,3-3 新出単語
卒業論文,そつぎょうろんぶん ⑤,<名>,（本科生）毕业论文,3-3 新出単語
卒業,そつぎょう ⓪,<名·自Ⅲ>,毕业,3-3 新出単語
論文,ろんぶん ⓪,<名>,论文,3-3 新出単語
テーマ,德语thema ①,<名>,主题；题目,3-3 新出単語
株式市場,かぶしきしじょう ⑤,<名>,股票市场；股市,3-3 新出単語
株式,かぶしき ②,<名>,股；股票；股份,3-3 新出単語
市場,しじょう ⓪,<名>,市场,3-3 新出単語
副会長,ふくかいちょう ③,<名>,副会长,3-3 新出単語
副-,ふく-,<接頭>,副～,3-3 新出単語
知らせ,しらせ ⓪,<名>,通知,3-3 新出単語
日時,にちじ ①,<名>,日期与时间,3-3 新出単語
大集会室,だいしゅうかいしつ ⑤,<名>,大集会室；大会议室；会议厅,3-3 新出単語
大-,だい-,<接頭>,大～,3-3 新出単語
集会,しゅうかい ⓪,<名·自Ⅲ>,集会,3-3 新出単語
会費,かいひ ⓪,<名>,会费；会务费,3-3 新出単語
会員,かいいん ⓪,<名>,会员,3-3 新出単語
元,げん ①,<名>,（人民币单位）元,3-3 新出単語
無料,むりょう ⓪,<名>,免费,3-3 新出単語
料理,りょうり ①,<名·他Ⅲ>,菜；料理；烹饪,3-3 新出単語
ギョーザ〖餃子〗,ギョーザ ⓪,<名>,饺子,3-3 新出単語
すし〖寿司〗,すし②①,<名>,寿司,3-3 新出単語
や,や,<並助>,（用于罗列、列举同类事物，但未穷尽）和,3-3 新出単語
など〖等〗,など,<取立て助>,（表示示例）等；等等,3-3 新出単語
修士,しゅうし ①,<名>,硕士,3-3 練習用単語
水曜日,すいようび ③,<名>,星期三,3-3 練習用単語
映画,えいが ①⓪,<名>,电影,3-3 練習用単語
鑑賞,かんしょう ⓪,<名·他Ⅲ>,鉴赏；欣赏,3-3 練習用単語
説明会,せつめいかい ③,<名>,说明会,3-3 練習用単語
説明,せつめい ⓪,<名·他Ⅲ>,说明,3-3 練習用単語
