読解文,どっかいぶん ③,&lt;名&gt;,阅读理解的文章；课文,,2-3 新出単語
読解,どっかい ⓪,&lt;名·他Ⅲ&gt;,阅读；阅读理解,,2-3 新出単語
文,ぶん ①,&lt;名&gt;,文章；句子,,2-3 新出単語
皆さん,みなさん ②,&lt;名&gt;,大家；各位,,2-3 新出単語
こんにちは,こんにちは ⓪,,你好！,,2-3 新出単語
～へようこそ,～へようこそ,,（へ：发e的音）表示欢迎对方的来访等,,2-3 新出単語
学長,がくちょう ⓪,&lt;名&gt;,大学校长,,2-3 新出単語
張光輝,ちょう-こうき ①-①,&lt;固名&gt;,（人名）张光辉,,2-3 新出単語
-年,-ねん,&lt;接尾&gt;,（用于计算年限或学年等）年,,2-3 新出単語
創立,そうりつ ⓪,&lt;名·他Ⅲ&gt;,创立；创建；设立,,2-3 新出単語
総合大学,そうごうだいがく ⑤,&lt;名&gt;,综合大学,,2-3 新出単語
総合,そうごう ⓪,&lt;名·他Ⅲ&gt;,综合,,2-3 新出単語
現在,げんざい ①,&lt;名&gt;,现在,,2-3 新出単語
学生数,がくせいすう ③,&lt;名&gt;,学生人数,,2-3 新出単語
-数,-すう,&lt;接尾&gt;,数；数量,,2-3 新出単語
約,やく ①,&lt;副&gt;,大约；大概,,2-3 新出単語
-名,-めい,&lt;接尾&gt;,（表示人数。「-人（-にん）」的郑重说法）~位；~名；~人,,2-3 新出単語
文系学部,ぶんけいがくぶ ⑤,&lt;名&gt;,文科院系,,2-3 新出単語
理系学部,りけいがくぶ ④,&lt;名&gt;,理科院系,,2-3 新出単語
その他,そのた ②,&lt;名&gt;,其他；另外,,2-3 新出単語
大学院,だいがくいん ④,&lt;名&gt;,研究生院,,2-3 新出単語
研究所,けんきゅうじょ/けんきゅうしょ ⓪⑤,&lt;名&gt;,研究所,,2-3 新出単語
研究,けんきゅう ⓪,&lt;名·他Ⅲ&gt;,研究,,2-3 新出単語
センター,center ①,&lt;名&gt;,中心,,2-3 新出単語
コース,course ①,&lt;名&gt;,学科；方向；路线,,2-3 新出単語
国際教育センター,こくさいきょういくcenter ⓪-①,&lt;名&gt;,国际教育中心,,2-3 新出単語
国際,こくさい ⓪,&lt;名&gt;,国际,,2-3 新出単語
教育,きょういく ⓪,&lt;名·他Ⅲ&gt;,教育,,2-3 新出単語
一部,いちぶ ②,&lt;名&gt;,一部分,,2-3 新出単語
主要科目,しゅようかもく ④,&lt;名&gt;,主要科目,,2-3 新出単語
主要,しゅよう ①,&lt;名·形Ⅱ&gt;,主要,,2-3 新出単語
科目,かもく ⓪,&lt;名&gt;,科目,,2-3 新出単語
中国語,ちゅうごくご ⓪,&lt;名&gt;,汉语；中文,,2-3 新出単語
発音,はつおん ⓪,&lt;名·他Ⅲ&gt;,发音,,2-3 新出単語
聴解,ちょうかい ⓪,&lt;名&gt;,听力,,2-3 新出単語
作文,さくぶん ⓪,&lt;名·自Ⅲ&gt;,作文；写作,,2-3 新出単語
言葉,ことば ③,&lt;名&gt;,语言；词汇；词；口语,,2-3 新出単語
勉強,べんきょう ⓪,&lt;名·他Ⅲ&gt;,学习,,2-3 新出単語
日々,ひび ①,&lt;名&gt;,每天；天天；平时,,2-3 新出単語
努力,どりょく ①,&lt;名·自Ⅲ&gt;,努力,,2-3 新出単語
積み重ね,つみかさね ⓪,&lt;名&gt;,积累,,2-3 新出単語
では,では ①,&lt;接&gt;,那么,,2-3 新出単語
の,の,&lt;格助&gt;,表示同位关系,,2-3 新出単語
修学,しゅうがく ⓪,&lt;名·自Ⅲ&gt;,修学；学习,,2-3 練習用単語
言語文学部,げんごぶんがくぶ ⑦,&lt;名&gt;,语言文学院；语言文学系,,2-3 練習用単語
文学部,ぶんがくぶ ④,&lt;名&gt;,文学院；文学系,,2-3 練習用単語
教育学部,きょういくがくぶ ⑥,&lt;名&gt;,教育学院；教育（学）系,,2-3 練習用単語
法学部,ほうがくぶ ④,&lt;名&gt;,法学院；法学系,,2-3 練習用単語
経済学部,けいざいがくぶ ⑤⑥,&lt;名&gt;,经济学院；经济学系,,2-3 練習用単語
理学部,りがくぶ ③,&lt;名&gt;,理学院；理科系,,2-3 練習用単語
医学部,いがくぶ ③,&lt;名&gt;,医学院；医学系,,2-3 練習用単語
歯学部,しがくぶ ③,&lt;名&gt;,口腔学院；口腔系,,2-3 練習用単語
薬学部,やくがくぶ ④,&lt;名&gt;,药学院；药学系,,2-3 練習用単語
獣医学部,じゅういがくぶ ⑤⑥,&lt;名&gt;,兽医学院；兽医（学）系,,2-3 練習用単語
水産学部,すいさんがくぶ ⑤⑥,&lt;名&gt;,水产学院；水产养殖学系,,2-3 練習用単語
大学内機関,だいがくないきかん ⑦,&lt;名&gt;,大学校内机构,,2-3 練習用単語
-内,ない,&lt;接尾&gt;,～内,,2-3 練習用単語
機関,きかん ①②,&lt;名&gt;,机构,,2-3 練習用単語
動物病院,どうぶつびょういん ⑤,&lt;名&gt;,宠物医院,,2-3 練習用単語
動物,どうぶつ ⓪,&lt;名&gt;,动物,,2-3 練習用単語
病院,びょういん ⓪,&lt;名&gt;,（综合）医院,,2-3 練習用単語
