キャンパス·スケジュール,campus schedule ⑦,<名>,校园日程,3-1 新出単語
キャンパス,campus ①,<名>,校园,3-1 新出単語
スケジュール,schedule ③②,<名>,日程；日程表,3-1 新出単語
売店,ばいてん ⓪,<名>,小卖部；商店；小铺儿,3-1 新出単語
どこ,どこ ①,<名>,哪里；哪儿,3-1 新出単語
建物,たてもの ②③,<名>,建筑；建筑物,3-1 新出単語
白い,しろい ②,<形I>,白色（的）,3-1 新出単語
あれ,あれ ⓪,<名>,（指代远离说话人、听话人双方的事物）那个,3-1 新出単語
向こう,むこう ②⓪,<名>,对面；那边,3-1 新出単語
何 (3-1),なん ①,<名>,什么,3-1 新出単語
どれ,どれ ①,<名>,哪个,3-1 新出単語
大きい,おおきい ③,<形Ⅰ>,大（的）,3-1 新出単語
図書館,としょかん ②,<名>,图书馆,3-1 新出単語
立派,りっぱ ⓪,<形Ⅱ>,好（的）；出色（的）；漂亮（的）；棒,3-1 新出単語
ここ,ここ ⓪,<名>,这里,3-1 新出単語
閲覧室,えつらんしつ ③,<名>,阅览室,3-1 新出単語
-室,-しつ,<接尾>,～室；房间,3-1 新出単語
雑誌,ざっし ⓪,<名>,杂志,3-1 新出単語
検索用,けんさくよう ⓪,<名>,检索用,3-1 新出単語
-用,-よう,<接尾>,做……用,3-1 新出単語
検索,けんさく ⓪,<名·他Ⅲ>,检索,3-1 新出単語
コンピューター,computer ③,<名>,电脑；计算机（也作「コンピュータ」）,3-1 新出単語
あそこ,あそこ ⓪,<名>,（指代远离说话人、听话人双方的地点）那里,3-1 新出単語
それから,それから ⓪,<接>,（表示添加）另外；还有；之后；然后,3-1 新出単語
貸し出しカウンター,かしだしcounter ⑥,<名>,借书处,3-1 新出単語
貸し出し,かしだし ⓪,<名>,借；借出,3-1 新出単語
カウンター,counter ⓪,<名>,柜台；接待处,3-1 新出単語
そこ,そこ ⓪,<名>,（指代对方附近或属于对方范围内的地点）那里；那儿,3-1 新出単語
お手洗い,おてあらい ③,<名>,洗手间；厕所,3-1 新出単語
手洗い,てあらい ②,<名>,洗手；洗手间（厕所的委婉说法）,3-1 新出単語
トイレ,トイレ ①,<名>,（「トイレット“toilet”」的省略说法）厕所；洗手间,3-1 新出単語
じゃ,じゃ ①,<接>,（「では」的口语体用法）那么,3-1 新出単語
も,も,<取立て助>,（表示同类事物的添加或并列）也,3-1 新出単語
銀行,ぎんこう ⓪,<名>,银行,3-1 練習用単語
コンビニ,コンビニ ⓪,<名>,（convenience store的省略说法）便利店,3-1 練習用単語
駅,えき ①,<名>,（火）车站；地铁站,3-1 練習用単語
学校,がっこう ⓪,<名>,学校,3-1 練習用単語
デパート,デパート ②,<名>,（department的省略说法）百货商场,3-1 練習用単語
古い,ふるい ②,<形Ⅰ>,古老（的）；传统（的）；老（的）,3-1 練習用単語
本,ほん ①,<名>,书,3-1 練習用単語
高い,たかい ②,<形Ⅰ>,高（的）; （价格、价值）贵（的）,3-1 練習用単語
ホテル,hotel ①,<名>,宾馆；饭店；酒店,3-1 練習用単語
明るい,あかるい ⓪,<形Ⅰ>,明亮（的）；性格开朗（的）；对……很了解,3-1 練習用単語
部屋,へや ②,<名>,房间,3-1 練習用単語
複雑,ふくざつ ⓪,<名·形Ⅱ>,复杂（的）,3-1 練習用単語
問題,もんだい ⓪,<名>,问题,3-1 練習用単語
歌手,かしゅ ①,<名>,歌手,3-1 練習用単語
有名,ゆうめい ⓪,<名·形Ⅱ>,有名（的）,3-1 練習用単語
東西大学,とうざいだいがく ⑤,<固名>,东西大学,3-1 練習用単語
喫茶店,きっさてん ③⓪,<名>,咖啡店；茶馆,3-1 練習用単語
