日記,にっき ⓪,<名>,日记,4-3 新出単語
最初,さいしょ ⓪,<名>,最初；最早（的）,4-3 新出単語
-週間,-しゅうかん,<接尾>,~周,4-3 新出単語
引越し,ひっこし ⓪,<名·自Ⅲ>,搬家,4-3 新出単語
いろいろ〖色色·色々〗,いろいろ ⓪,<形Ⅱ·副·名>,各种各样；许多,4-3 新出単語
手続き,てつづき ②,<名·他Ⅲ>,手续,4-3 新出単語
買い物,かいもの ⓪,<名·自Ⅲ>,买东西；购物,4-3 新出単語
履修登録,りしゅうとうろく ④,<名>,选修登记；选课,4-3 新出単語
履修,りしゅう ⓪,<名·他Ⅲ>,选修,4-3 新出単語
登録,とうろく ⓪,<名·他Ⅲ>,登记；登录,4-3 新出単語
忙しい,いそがしい ④,<形Ⅰ>,忙（的）；忙碌（的）,4-3 新出単語
注意,ちゅうい ①,<名·自他Ⅲ>,注意；小心；提醒,4-3 新出単語
必要,ひつよう ⓪,<形Ⅱ·名>,必要；需要,4-3 新出単語
担任,たんにん ⓪,<名·他Ⅲ>,担任；担当；负责,4-3 新出単語
みんな,みんな ③,<名·副>,都；大家,4-3 新出単語
人たち,ひとたち ②,<名>,人们,4-3 新出単語
-たち,-たち,<接尾>,（表示有生命物的复数）～们,4-3 新出単語
特に,とくに ①,<副>,尤其；特别,4-3 新出単語
明日,あした ③,<名>,明天,4-3 新出単語
パートナー (partner）,パートナー (partner）①,<名>,伙伴；搭档,4-3 新出単語
礼儀,れいぎ ⓪,<名>,礼仪；礼节,4-3 新出単語
正しい,ただしい ③,<形Ⅰ>,正确（的）；正当（的）；符合要求（的）,4-3 新出単語
残念ながら,ざんねんながら ⑤,,遗憾的是；只可惜,4-3 新出単語
残念,ざんねん ③,<形Ⅱ>,（令人）遗憾（的）；（令人）惋惜（的）,4-3 新出単語
イケメン,イケメン ⓪,<名>,（「イケる+メン」的缩略说法）帅哥,4-3 新出単語
ごめんなさい,ごめんなさい ⑤,,（道歉用语）对不起,4-3 新出単語
近い,ちかい ②,<形Ⅰ>,近（的）,4-3 練習用単語
悪い,わるい ②,<形Ⅰ>,坏（的）；不好（的）,4-3 練習用単語
元気,げんき ①,<名·形Ⅱ>,健康（的）;有精神（的)，有干劲（的）,4-3 練習用単語
レストラン,restaurant ①,<名>,餐厅；饭店,4-3 練習用単語
